cas	inchi	inchikey	smiles	formula	definition	checked	alw_cname	che_cname	che_id	chl_id	chs_id	drb_id	eea_cname	ein_id	etx_cname	etx_id	ipc_name	puc_cid	wid_cname	wid_id	zvg_id	uni_id
104040-78-0							flazasulfuron	Flazasulfuron	CHEBI:81749													
104040-79-1							dicamba-diglycolamine															
104098-48-8					A racemate comprising equimolar amounts of (R)- and (S)-imazapic. It is a selective imidazolinone herbicide for pre- and post-emergent control of some annual and perennial grasses and broadleaf weeds. It kills plants by inhibiting the activity of the enzyme acetohydroxy acid synthase (AHAS).		imazapic	imazapic	CHEBI:147366													
10415-75-5	InChI=1S/Hg.NO3/c;2-1(3)4/q+1;-1	DRXYRSRECMWYAV-UHFFFAOYSA-N	[N+](=O)([O-])[O-].[Hg+]	HgNO3														25247				
10416-59-8																						
10417-94-4	InChI=1S/C20H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h3-4,6-7,9-10,12-13,15-16H,2,5,8,11,14,17-19H2,1H3,(H,21,22)/b4-3-,7-6-,10-9-,13-12-,16-15-	JAZBEHYOTPTENJ-JLNKQSITSA-N	CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O	C20H30O2	An icosapentaenoic acid having five cis-double bonds at positions 5, 8, 11, 14 and 17.			all-cis-5,8,11,14,17-icosapentaenoic acid	CHEBI:28364		393682							446284				
104206-61-3	InChI=1S/C15H15NO5/c1-15(2)8-7-11(17)12(14(15)19)13(18)9-5-3-4-6-10(9)16(20)21/h3-6,12H,7-8H2,1-2H3	GBCCAVJIOHCZPZ-UHFFFAOYSA-N	CC1(CCC(=O)C(C1=O)C(=O)C2=CC=CC=C2[N+](=O)[O-])C	C15H15NO5							153300							175966				
1042078-12-5																						
10421-48-4	InChI=1S/Fe.3NO3/c;3*2-1(3)4/q+3;3*-1	VCJMYUPGQJHHFU-UHFFFAOYSA-N	[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Fe+3]	FeN3O9							23584							25251				
104273-73-6	InChI=1S/C11H12O5/c12-7-3-6(11(15)16)4-8(13)9(7)10(14)5-1-2-5/h5-6,9H,1-4H2,(H,15,16)	UNMYTEORJFXQBK-UHFFFAOYSA-N	C1CC1C(=O)C2C(=O)CC(CC2=O)C(=O)O	C11H12O5	A monocarboxylic acid that is 3,5-dioxocyclohexanecarboxylic acid substituted by a cyclopropyl(hydroxy)methylidene group at position 4. It is a metabolite of the plant growth regulator trinexapac-ethyl.		trinexapac	trinexapac	CHEBI:83454					600-551-2				17990286	4-(Cyclopropylcarbonyl)-3,5-dioxocyclohexanecarboxylic acid	Q60022054		
104276-42-8																						
104276-45-1																						
10431-47-7	InChI=1S/2K.H2O3Se/c;;1-4(2)3/h;;(H2,1,2,3)/q2*+1;/p-2	RNGFNLJMTFPHBS-UHFFFAOYSA-L	[O-][Se](=O)[O-].[K+].[K+]	K2O3Se							132400			233-909-8				150192	potassium selenite	Q15627914		
10431-84-2																						
10433-59-7							2,4-DB-sodium															
10443-70-6							MCPB-ethyl															
10448-50-7											219477											
104522-42-1																						
10453-86-8							resmethrin	resmethrin	CHEBI:8811													
10453-89-1	InChI=1S/C10H16O2/c1-6(2)5-7-8(9(11)12)10(7,3)4/h5,7-8H,1-4H3,(H,11,12)	XLOPRKKSAJMMEW-UHFFFAOYSA-N	CC(=CC1C(C1(C)C)C(=O)O)C	C10H16O2	A monocarboxylic acid that is cyclopropanecarboxylic acid substituted by two methyl groups at position 2 and a 2-methylprop-1-en-1-yl group at position 3.			chrysanthemic acid	CHEBI:3680		2642							2743				
10457-66-6					A polyprenylhydroquinone consisting of hydroquinone in which the hydrogen at position 2 is substituted by a (2E)-3,7-dimethylocta-2,6-dien-1-yl group.			geranylhydroquinone	CHEBI:24233		4445151											
10458-14-7	InChI=1S/C10H18O/c1-7(2)9-5-4-8(3)6-10(9)11/h7-9H,4-6H2,1-3H3	NFLGAXVYCFJBMK-UHFFFAOYSA-N	CC1CCC(C(=O)C1)C(C)C	C10H18O	A p-menthane monoterpenoid that is p-menthane substituted by an oxo group at position 3.			p-menthan-3-one	CHEBI:36742		6720							6986				
1046-56-6	InChI=1S/C20H14N4/c1-3-9-15(10-4-1)18-19(16-11-5-2-6-12-16)23-24-20(22-18)17-13-7-8-14-21-17/h1-14H	OTMYLOBWDNFTLO-UHFFFAOYSA-N	C1=CC=C(C=C1)C2=C(N=NC(=N2)C3=CC=CC=N3)C4=CC=CC=C4	C20H14N4							63757							70588				
10460-33-0																						
10463-14-6																						
104632-25-9					A hydrochloride that is the anhydrous dihydrochloride salt of pramipexole.			pramipexole hydrochloride anhydrous	CHEBI:51148													
104653-34-1							difethialone	Difethialone	CHEBI:81893													
10466-65-6	InChI=1S/K.4O.Re/q+1;4*-2;	WIEFDAMBOQLJIH-UHFFFAOYSA-N	[O-2].[O-2].[O-2].[O-2].[K+].[Re]	KO4Re-7							2304814							3041555				
1047-16-1	InChI=1S/C20H12N2O2/c23-19-11-5-1-3-7-15(11)21-17-10-14-18(9-13(17)19)22-16-8-4-2-6-12(16)20(14)24/h1-10H,(H,21,23)(H,22,24)	NRCMAYZCPIVABH-UHFFFAOYSA-N	C1=CC=C2C(=C1)C(=O)C3=CC4=C(C=C3N2)C(=O)C5=CC=CC=C5N4	C20H12N2O2							13369							13976				
10470-82-3	InChI=1S/C13H12O3/c1-9(13(14)15)16-12-7-6-10-4-2-3-5-11(10)8-12/h2-9H,1H3,(H,14,15)	HMIVVAPMRQMNAK-UHFFFAOYSA-N	CC(C(=O)O)OC1=CC2=CC=CC=C2C=C1	C13H12O3				NOP	CHEBI:7440	CHEMBL574023	83273							92236	NOP	Q27107492		
104710-40-9																						
10476-85-4	InChI=1S/2ClH.Sr/h2*1H;/q;;+2/p-2	AHBGXTDRMVNFER-UHFFFAOYSA-L	[Cl-].[Cl-].[Sr+2]	Cl2Sr				strontium dichloride	CHEBI:36383	CHEMBL2219640	55440	13987		233-971-6				5362485	strontium chloride	Q411859	491485	EKE8PS9J6Z
104786-87-0							dichlorprop-P-dimethylammonium															
10479-30-8	InChI=1S/C16H17NO/c1-14(18)17(12-15-8-4-2-5-9-15)13-16-10-6-3-7-11-16/h2-11H,12-13H2,1H3	JJGMIJNIKHHXHK-UHFFFAOYSA-N	CC(=O)N(CC1=CC=CC=C1)CC2=CC=CC=C2	C16H17NO							74592							82657				
10482-56-1	InChI=1S/C10H18O/c1-8-4-6-9(7-5-8)10(2,3)11/h4,9,11H,5-7H2,1-3H3/t9-/m1/s1	WUOACPNHFRMFPN-SECBINFHSA-N	CC1=CCC(CC1)C(C)(C)O	C10H18O	The (S)-enantiomer of alpha-terpineol.			(S)-(-)-alpha-terpineol	CHEBI:128	CHEMBL447597	391434			233-986-8				443162	(+)-α-terpineol	Q27105253		21M14KDA67
10484-09-0	InChI=1S/C10H10O3/c1-2-7-13-10(12)8-5-3-4-6-9(8)11/h2-6,11H,1,7H2	YYKBLDCLPBWOOE-UHFFFAOYSA-N	C=CCOC(=O)C1=CC=CC=C1O	C10H10O3							59708							66330				
10485-70-8					A member of the juvenile hormone family of compounds that is the methyl ester of farnesoic acid. Found in several species of crustaceans.			methyl farnesoate	CHEBI:80535													
10486-00-7								disodium perborate hexahydrate	CHEBI:30176													
10487-66-8	InChI=1S/C10H6ClNO2/c11-9-4-2-1-3-7(9)5-8(6-12)10(13)14/h1-5H,(H,13,14)/b8-5+	SPTXWNXTYIDOON-VMPITWQZSA-N	C1=CC=C(C(=C1)C=C(C#N)C(=O)O)Cl	C10H6ClNO2														15556463				
10487-75-9																						
104939-16-4																						
104960-23-8																						
104961-68-4																						
104987-11-3					A macrolide lactam containing a 23-membered lactone ring, originally isolated from the fermentation broth of a Japanese soil sample that contained the bacteria Streptomyces tsukubaensis.			tacrolimus (anhydrous)	CHEBI:61049													
0105-04-04	InChI=1S/C8H20N2/c1-4-9-7-8-10(5-2)6-3/h9H,4-8H2,1-3H3	HDCAZTXEZQWTIJ-UHFFFAOYSA-N	CCNCCN(CC)CC	C8H20N2							59431							66040				
0105-08-08	InChI=1S/C8H16O2/c9-5-7-1-2-8(6-10)4-3-7/h7-10H,1-6H2	YIMQCDZDWXUDCA-UHFFFAOYSA-N	C1CC(CCC1CO)CO	C8H16O2							7449							7735				
105-13-5	InChI=1S/C8H10O2/c1-10-8-4-2-7(6-9)3-5-8/h2-5,9H,6H2,1H3	MSHFRERJPWKJFX-UHFFFAOYSA-N	COC1=CC=C(C=C1)CO	C8H10O2							21105859							7738				
105-14-6	InChI=1S/C9H19NO/c1-4-10(5-2)8-6-7-9(3)11/h4-8H2,1-3H3	GRGNJBKJCVOFEO-UHFFFAOYSA-N	CCN(CC)CCCC(=O)C	C9H19NO							7453			203-274-1				7739	5-Diethylamino-2-pentanone	Q72469152		
105-34-0	InChI=1S/C4H5NO2/c1-7-4(6)2-3-5/h2H2,1H3	ANGDWNBGPBMQHW-UHFFFAOYSA-N	COC(=O)CC#N	C4H5NO2				methyl cyanoacetate	CHEBI:51928		7460							7747				
105-36-2	InChI=1S/C4H7BrO2/c1-2-7-4(6)3-5/h2-3H2,1H3	PQJJJMRNHATNKG-UHFFFAOYSA-N	CCOC(=O)CBr	C4H7BrO2							7462							7748				
105-37-3	InChI=1S/C5H10O2/c1-3-5(6)7-4-2/h3-4H2,1-2H3	FKRCODPIKNYEAC-UHFFFAOYSA-N	CCC(=O)OCC	C5H10O2	A propanoate ester of ethanol.			ethyl propionate	CHEBI:41330	CHEMBL44115	7463			203-291-4				7749	ethyl propionate	Q2740687	28580	AT9K8FY49U
105-39-5	InChI=1S/C4H7ClO2/c1-2-7-4(6)3-5/h2-3H2,1H3	VEUUMBGHMNQHGO-UHFFFAOYSA-N	CCOC(=O)CCl	C4H7ClO2							7465							7751				
105-43-1	InChI=1S/C6H12O2/c1-3-5(2)4-6(7)8/h5H,3-4H2,1-2H3,(H,7,8)	IGIDLTISMCAULB-UHFFFAOYSA-N	CCC(C)CC(=O)O	C6H12O2						CHEMBL1789215	7469			203-297-7				7755	3-methylpentanoic acid	Q27269640	492674	85FS4Y39LJ
105-45-3	InChI=1S/C5H8O3/c1-4(6)3-5(7)8-2/h3H2,1-2H3	WRQNANDWMGAFTP-UHFFFAOYSA-N	CC(=O)CC(=O)OC	C5H8O3														7757				
105-46-4																						
105-50-0																						
105-53-3	InChI=1S/C7H12O4/c1-3-10-6(8)5-7(9)11-4-2/h3-5H2,1-2H3	IYXGSMUGOJNHAZ-UHFFFAOYSA-N	CCOC(=O)CC(=O)OCC	C7H12O4							13863636							7761				
105-54-4	InChI=1S/C6H12O2/c1-3-5-6(7)8-4-2/h3-5H2,1-2H3	OBNCKNCVKJNDBV-UHFFFAOYSA-N	CCCC(=O)OCC	C6H12O2	A butyrate ester resulting from the formal condensation of the hydroxy group of ethanol with the carboxy group of butyric acid.			ethyl butyrate	CHEBI:88764		7475							7762				
105-55-5	InChI=1S/C5H12N2S/c1-3-6-5(8)7-4-2/h3-4H2,1-2H3,(H2,6,7,8)	FLVIGYVXZHLUHP-UHFFFAOYSA-N	CCNC(=S)NCC	C5H12N2S	Thiourea in which each nitrogen carries an ethyl substituent.			N,N'-diethylthiourea	CHEBI:82448	CHEMBL1611590	2016737			203-308-5				2735009	N,N'-diethylthiourea	Q26840940	492677	J2RDK7O9MZ
105-60-2	InChI=1S/C6H11NO/c8-6-4-2-1-3-5-7-6/h1-5H2,(H,7,8)	JBKVHLHDHHXQEQ-UHFFFAOYSA-N	C1CCC(=O)NCC1	C6H11NO	A member of the class of caprolactams that is azepane substituted by an oxo group at position 2.			epsilon-caprolactam	CHEBI:28579	CHEMBL276218	7480			203-313-2				7768	caprolactam	Q409397	13240	6879X594Z8
105-66-8	InChI=1S/C7H14O2/c1-3-5-7(8)9-6-4-2/h3-6H2,1-2H3	HUAZGNHGCJGYNP-UHFFFAOYSA-N	CCCC(=O)OCCC	C7H14O2	A butyrate ester resulting from the formal condensation of the hydroxy group of propanol with the carboxy group of butyric acid.			propyl butyrate	CHEBI:89719		7482			203-320-0				7770	propyl butyrate	Q408216	101609	CW590750SQ
105-68-0	InChI=1S/C8H16O2/c1-4-8(9)10-6-5-7(2)3/h7H,4-6H2,1-3H3	XAOGXQMKWQFZEM-UHFFFAOYSA-N	CCC(=O)OCCC(C)C	C8H16O2	A propanoate ester of isoamylol.			isoamyl propanoate	CHEBI:87419		7484			203-322-1				7772	isoamyl propionate	Q10869280	496173	2A8739M82Z
105-75-9																						
105-87-3					A monoterpenoid that is the  acetate ester derivative of  geraniol.			geranyl acetate	CHEBI:5331													
105-99-7	InChI=1S/C14H26O4/c1-3-5-11-17-13(15)9-7-8-10-14(16)18-12-6-4-2/h3-12H2,1-2H3	XTJFFFGAUHQWII-UHFFFAOYSA-N	CCCCOC(=O)CCCCC(=O)OCCCC	C14H26O4				Dibutyl adipate	CHEBI:34686	CHEMBL3188143	7496			203-350-4				7784	dibutyl adipate	Q27116222	12810	F4K100DXP3
105018-76-6	InChI=1S/C22H30O4/c1-4-5-13-18(26-3)14-11-9-7-6-8-10-12-17(2)21-19(23)15-16-20(24)22(21)25/h5,7-10,13,15-18,25H,4,6,11-12,14H2,1-3H3/b9-7-,10-8-,13-5+	UYEKQEYYQAOFOF-FUHGLCMYSA-N	CCC=CC(CCC=CCC=CCC(C)C1=C(C(=O)C=CC1=O)O)OC	C22H30O4														6442913				
105024-66-6					An organosilicon compound that is dimethylsilane in which one of the hydrogens attached to the silicon is replaced by a 4-ethoxyphenyl group, while the other is replaced by a 3-(4-fluoro-3-phenoxyphenyl)propyl group. It is an insecticide used to control soil-borne insects.		silafluofen	silafluofen	CHEBI:39393													
10504-35-5								D-ascorbic acid	CHEBI:51384													
10515-47-6	InChI=1S/C13H9BrN2O4/c14-8-4-6-9(7-5-8)15-13(18)10-2-1-3-11(12(10)17)16(19)20/h1-7,17H,(H,15,18)	HKSUGCYEZHTCIO-UHFFFAOYSA-N	C1=CC(=C(C(=C1)[N+](=O)[O-])O)C(=O)NC2=CC=C(C=C2)Br	C13H9BrN2O4							74622							82691	4'-Bromo-3-nitrosalicylanilide	Q82002781		
10515-48-7	InChI=1S/C13H9IN2O4/c14-8-4-6-9(7-5-8)15-13(18)10-2-1-3-11(12(10)17)16(19)20/h1-7,17H,(H,15,18)	TXGONIKXFWSNOU-UHFFFAOYSA-N	C1=CC(=C(C(=C1)[N+](=O)[O-])O)C(=O)NC2=CC=C(C=C2)I	C13H9IN2O4							74623							82692	4'-Iodo-3-nitrosalicylanilide	Q82002782		
10517-44-9																						
1053225-38-9																						
10534-87-9																						
105394-80-7																						
10540-29-1								tamoxifen	CHEBI:41774													
105418-77-7																						
10543-57-4																						
10548-10-04																						
1055-23-8	InChI=1S/C28H18/c1-5-13-23-19(9-1)17-20-10-2-6-14-24(20)27(23)28-25-15-7-3-11-21(25)18-22-12-4-8-16-26(22)28/h1-18H	SXGIRTCIFPJUEQ-UHFFFAOYSA-N	C1=CC=C2C(=C1)C=C3C=CC=CC3=C2C4=C5C=CC=CC5=CC6=CC=CC=C64	C28H18							59494							66105				
1055-55-6																						
105512-06-9					A carboxylic ester resulting from the formal condensation of the carboxy group of clodinafop with the hydroxy group of prop-2-yn-1-ol. It is widely used as a herbicide for the control of annual grass weeds in cereal crops.		clodinafop-propargyl	clodinafop-propargyl	CHEBI:132921													
10552-74-6							nitrothal-isopropyl	Nitrothal-isopropyl	CHEBI:82026													
105568-48-7																						
105618-13-1																						
105618-26-6								Norbinaltorphimine	CHEBI:81529													
105726-67-8	InChI=1S/C11H23NO/c1-5-8-11(7-3,9-6-2)10(13)12-4/h5-9H2,1-4H3,(H,12,13)	GELCOLZWXWHMIB-UHFFFAOYSA-N	CCCC(CC)(CCC)C(=O)NC	C11H23NO			methylneodecanamide				184730							213036				
1057409-91-2																						
105779-78-0							pyrimidifen	pyrimidifen	CHEBI:38604													
1058-92-0																						
105843-36-5							imidaclothiz				160503											
10585-07-06																						
10588-01-09								sodium dichromate	CHEBI:39483													
1059-14-9	InChI=1S/C30H50O/c1-19-11-14-27(5)17-18-29(7)21(25(27)20(19)2)9-10-23-28(6)15-13-24(31)26(3,4)22(28)12-16-30(23,29)8/h20-25,31H,1,9-18H2,2-8H3/t20-,21-,22+,23-,24+,25-,27-,28+,29-,30-/m1/s1	XWMMEBCFHUKHEX-ZJJHUPNDSA-N	CC1C2C3CCC4C5(CCC(C(C5CCC4(C3(CCC2(CCC1=C)C)C)C)(C)C)O)C	C30H50O	A pentacyclic triterpenoid that is taraxastane with a beta-hydroxy group at position 3.			taraxasterol	CHEBI:9401		103120							115250				
105908-07-4	InChI=1S/C12H15ClO3/c1-9-5-6-10(13)11(8-9)16-7-3-2-4-12(14)15/h5-6,8H,2-4,7H2,1H3,(H,14,15)	ZDYPUHMWWDOBCW-UHFFFAOYSA-N	CC1=CC(=C(C=C1)Cl)OCCCCC(=O)O	C12H15ClO3														43167576				
105919-00-4																						
10592-13-9					The hydrochloride salt of doxycycline.			doxycycline HCl	CHEBI:652992													
105937-68-6																						
10595-95-6	InChI=1S/C3H8N2O/c1-3-5(2)4-6/h3H2,1-2H3	RTDCJKARQCRONF-UHFFFAOYSA-N	CCN(C)N=O	C3H8N2O				N-Nitrosomethylethylamine	CHEBI:82360		23730							25418				
105953-73-9																						
105956-97-6								7-(3-amino-1-pyrrolidinyl)-8-chloro-1-cyclopropyl-6-fluoro-4-oxo-3-quinolinecarboxylic acid	CHEBI:94459													
105956-99-8																						
10599-70-9	InChI=1S/C8H10O2/c1-5-4-8(6(2)9)7(3)10-5/h4H,1-3H3	KBSVBCHYXYXDAG-UHFFFAOYSA-N	CC1=CC(=C(O1)C)C(=O)C	C8H10O2							55447							61527				
10599-90-3	InChI=1S/ClH2N/c1-2/h2H2	QDHHCQZDFGDHMP-UHFFFAOYSA-N	NCl	ClH2N				Chloramine	CHEBI:82415		23735							25423				
106-14-9	InChI=1S/C18H36O3/c1-2-3-4-11-14-17(19)15-12-9-7-5-6-8-10-13-16-18(20)21/h17,19H,2-16H2,1H3,(H,20,21)	ULQISTXYYBZJSJ-UHFFFAOYSA-N	CCCCCCC(CCCCCCCCCCC(=O)O)O	C18H36O3	A hydroxy fatty acid that is stearic acid bearing a hydroxy substituent at position 12.			12-hydroxyoctadecanoic acid	CHEBI:85208	CHEMBL292352	7501			203-366-1				7789	12-hydroxystearic acid	Q10843743	492681	933ANU3H2S
106-20-7	InChI=1S/C16H35N/c1-5-9-11-15(7-3)13-17-14-16(8-4)12-10-6-2/h15-17H,5-14H2,1-4H3	SAIKULLUBZKPDA-UHFFFAOYSA-N	CCCCC(CC)CNCC(CC)CCCC	C16H35N						CHEMBL1330355	7503			203-372-4				7791	diethylhexylamine	Q26840939	27730	9U5Q5UV6DB
106-21-8	InChI=1S/C10H22O/c1-9(2)5-4-6-10(3)7-8-11/h9-11H,4-8H2,1-3H3	PRNCMAKCNVRZFX-UHFFFAOYSA-N	CC(C)CCCC(C)CCO	C10H22O						CHEMBL3181881	7504			203-374-5				7792	3,7-dimethyl-1-octanol	Q27276531	492684	DPY9K1927C
106-22-9	InChI=1S/C10H20O/c1-9(2)5-4-6-10(3)7-8-11/h5,10-11H,4,6-8H2,1-3H3	QMVPMAAFGQKVCJ-UHFFFAOYSA-N	CC(CCC=C(C)C)CCO	C10H20O	A monoterpenoid that is oct-6-ene substituted by a hydroxy group at position 1 and methyl groups at positions 3 and 7.			citronellol	CHEBI:50462	CHEMBL395827	13850135			203-375-0				8842	(±)-β-citronellol	Q27122080	492685	565OK72VNF
106-23-0	InChI=1S/C10H18O/c1-9(2)5-4-6-10(3)7-8-11/h5,8,10H,4,6-7H2,1-3H3	NEHNMFOYXAPHSD-UHFFFAOYSA-N	CC(CCC=C(C)C)CC=O	C10H18O	A monoterpenoid, the main component of citronella oil which gives it its distinctive lemon aroma.			citronellal	CHEBI:47856		7506							7794				
106-24-1	InChI=1S/C10H18O/c1-9(2)5-4-6-10(3)7-8-11/h5,7,11H,4,6,8H2,1-3H3/b10-7+	GLZPCOQZEFWAFX-JXMROGBWSA-N	CC(=CCCC(=CCO)C)C	C10H18O	A monoterpenoid consisting of two prenyl units linked head-to-tail and functionalised with a hydroxy group at its tail end.			geraniol	CHEBI:17447	CHEMBL25719	4303			203-377-1				637566	geraniol	Q410836	491258	L837108USY
106-25-2	InChI=1S/C10H18O/c1-9(2)5-4-6-10(3)7-8-11/h5,7,11H,4,6,8H2,1-3H3/b10-7-	GLZPCOQZEFWAFX-YFHOEESVSA-N	CC(=CCCC(=CCO)C)C	C10H18O	The (2Z)-stereoisomer of 3,7-dimethylocta-2,6-dien-1-ol. It has been isolated from the essential oils from plants like lemon grass.			nerol	CHEBI:29452	CHEMBL452683	558917			203-378-7				643820	nerol	Q415359	101646	38G5P53250
106-28-5	InChI=1S/C15H26O/c1-13(2)7-5-8-14(3)9-6-10-15(4)11-12-16/h7,9,11,16H,5-6,8,10,12H2,1-4H3/b14-9+,15-11+	CRDAMVZIKSXKFV-YFVJMOTDSA-N	CC(=CCCC(=CCCC(=CCO)C)C)C	C15H26O	The (2-trans,6-trans)-stereoisomer of  farnesol.			(2-trans,6-trans)-farnesol	CHEBI:16619	CHEMBL25308	3210			679-283-3				445070	(2E,6E)-farnesol	Q420449		X23PI60R17
106-31-0	InChI=1S/C8H14O3/c1-3-5-7(9)11-8(10)6-4-2/h3-6H2,1-2H3	YHASWHZGWUONAO-UHFFFAOYSA-N	CCCC(=O)OC(=O)CCC	C8H14O3							7510							7798				
106-34-3	InChI=1S/C6H6O2.C6H4O2/c2*7-5-1-2-6(8)4-3-5/h1-4,7-8H;1-4H	BDJXVNRFAQSMAA-UHFFFAOYSA-N	C1=CC(=O)C=CC1=O.C1=CC(=CC=C1O)O	C12H10O4				quinhydrone	CHEBI:26491		7513			203-387-6				7801	Quinhydrone	Q3675005	101649	P4A66LQ3QJ
106-35-4	InChI=1S/C7H14O/c1-3-5-6-7(8)4-2/h3-6H2,1-2H3	NGAZZOYFWWSOGK-UHFFFAOYSA-N	CCCCC(=O)CC	C7H14O	A dialkyl ketone with butyl and ethyl as the two alkyl groups.			heptan-3-one	CHEBI:50139		7514			203-388-1				7802	3-heptanone	Q1287838	37200	10GA6SR3AT
106-36-5	InChI=1S/C6H12O2/c1-3-5-8-6(7)4-2/h3-5H2,1-2H3	MCSINKKTEDDPNK-UHFFFAOYSA-N	CCCOC(=O)CC	C6H12O2	A propanoate ester resulting from the formal condensation of the hydroxy group of propanol with the carboxy group of propanoic acid.			propyl propionate	CHEBI:89828	CHEMBL3185284	7515			203-389-7				7803	propyl propionate	Q3119221	510344	G09TRV00GK
106-37-6	InChI=1S/C6H4Br2/c7-5-1-2-6(8)4-3-5/h1-4H	SWJPEBQEEAHIGZ-UHFFFAOYSA-N	C1=CC(=CC=C1Br)Br	C6H4Br2				1,4-dibromobenzene	CHEBI:37150	CHEMBL195407	13868640			203-390-2				7804	1,4-dibromobenzene	Q4545692	492689	9991W3M5HZ
106-40-1	InChI=1S/C6H6BrN/c7-5-1-3-6(8)4-2-5/h1-4H,8H2	WDFQBORIUYODSI-UHFFFAOYSA-N	C1=CC(=CC=C1N)Br	C6H6BrN							7519							7807				
106-41-2	InChI=1S/C6H5BrO/c7-5-1-3-6(8)4-2-5/h1-4,8H	GZFGOTFRPZRKDS-UHFFFAOYSA-N	C1=CC(=CC=C1O)Br	C6H5BrO	A bromophenol containing only hydroxy and bromo substituents that are para to one another.			4-bromophenol	CHEBI:47248	CHEMBL57284	13842573			203-394-4				7808	4-bromophenol	Q26421193	492692	LAO4J0183I
106-45-6	InChI=1S/C7H8S/c1-6-2-4-7(8)5-3-6/h2-5,8H,1H3	WLHCBQAPPJAULW-UHFFFAOYSA-N	CC1=CC=C(C=C1)S	C7H8S						CHEMBL119359	21111822			203-399-1				7811	p-thiocresol	Q18466653		6L2WW9XYZO
106-49-0	InChI=1S/C7H9N/c1-6-2-4-7(8)5-3-6/h2-5H,8H2,1H3	RZXMPPFPUUCRFN-UHFFFAOYSA-N	CC1=CC=C(C=C1)N	C7H9N	An aminotoluene in which the amino substituent is para to the methyl group.			p-toluidine	CHEBI:37825	CHEMBL58521	13835151			203-403-1				7813	4-methylbenzenamine	Q2043499	16340	I1D0KL7I4U
106-50-3	InChI=1S/C6H8N2/c7-5-1-2-6(8)4-3-5/h1-4H,7-8H2	CBCKQZAAMUWICA-UHFFFAOYSA-N	C1=CC(=CC=C1N)N	C6H8N2	A phenylenediamine in which the amino functions are at positions 1 and 4 of the benzene nucleus.			1,4-phenylenediamine	CHEBI:51403		13835179	14141		203-404-7				7814	p-phenylenediamine	Q415024	16890	U770QIT64J
106-51-4	InChI=1S/C6H4O2/c7-5-1-2-6(8)4-3-5/h1-4H	AZQWKYJCGOJGHM-UHFFFAOYSA-N	C1=CC(=O)C=CC1=O	C6H4O2	The simplest member of the class of 1,4-benzoquinones, obtained by the formal oxidation of hydroquinone to the corresponding diketone. It is a metabolite of benzene.			1,4-benzoquinone	CHEBI:16509		4489							4650				
106-54-7	InChI=1S/C6H5ClS/c7-5-1-3-6(8)4-2-5/h1-4,8H	VZXOZSQDJJNBRC-UHFFFAOYSA-N	C1=CC(=CC=C1S)Cl	C6H5ClS							7527							7815				
106-57-0	InChI=1S/C4H6N2O2/c7-3-1-5-4(8)2-6-3/h1-2H2,(H,5,8)(H,6,7)	BXRNXXXXHLBUKK-UHFFFAOYSA-N	C1C(=O)NCC(=O)N1	C4H6N2O2	A cyclic peptide that is piperazine in which the hydrogens at positions 2 and 5 are replaced by oxo groups.			piperazine-2,5-dione	CHEBI:16535	CHEMBL125229	7529			203-411-5				7817	2,5-piperazinedione	Q27101960		240L69DTV7
106-60-5	InChI=1S/C5H9NO3/c6-3-4(7)1-2-5(8)9/h1-3,6H2,(H,8,9)	ZGXJTSGNIOSYLO-UHFFFAOYSA-N	C(CC(=O)O)C(=O)CN	C5H9NO3	The simplest delta-amino acid in which the hydrogens at the gamma position are replaced by an oxo group. It is metabolised to protoporphyrin IX, a photoactive compound which accumulates in the skin. Used (in the form of the hydrochloride salt)in combination with blue light illumination for the treatment of minimally to moderately thick actinic keratosis of the face or scalp.			5-aminolevulinic acid	CHEBI:17549	CHEMBL601	134	855		203-414-1				137	aminolevulinic acid	Q238474		88755TAZ87
106-63-8	InChI=1S/C7H12O2/c1-4-7(8)9-5-6(2)3/h4,6H,1,5H2,2-3H3	CFVWNXQPGQOHRJ-UHFFFAOYSA-N	CC(C)COC(=O)C=C	C7H12O2							7531							7819				
106-65-0	InChI=1S/C6H10O4/c1-9-5(7)3-4-6(8)10-2/h3-4H2,1-2H3	MUXOBHXGJLMRAB-UHFFFAOYSA-N	COC(=O)CCC(=O)OC	C6H10O4							13848341							7820				
106-68-3	InChI=1S/C8H16O/c1-3-5-6-7-8(9)4-2/h3-7H2,1-2H3	RHLVCLIPMVJYKS-UHFFFAOYSA-N	CCCCCC(=O)CC	C8H16O	A dialkyl ketone that is octane in which the two methylene protons at position 3 have been replaced by an oxo group.			3-octanone	CHEBI:80946	CHEMBL2269087	215929			203-423-0				246728	3-octanone	Q18349104	22430	79173B4107
106-69-4	InChI=1S/C6H14O3/c7-4-2-1-3-6(9)5-8/h6-9H,1-5H2	ZWVMLYRJXORSEP-UHFFFAOYSA-N	C(CCO)CC(CO)O	C6H14O3						CHEMBL3184716	7535			203-424-6				7823	1,2,6-hexanetriol	Q18018076	27110	W45XXM0XWE
